RecordKey   Fecha   ErrNum  ErrMsj  TipoDocumento
-3345  28052012  -10   En los campos "Hasta almacén" introduzca valores válidos  [Zpráva 0-0]   CON0339/12
-3344  28052012  0   Sin Error   CON0338/12
-3343  28052012  0   Sin Error   CON0337/12
-3342  28052012  0   Sin Error   CON0336/12
-3341  28052012  0   Sin Error   CON0335/12
-3340  28052012  0   Sin Error   CON0334/12
-3339  28052012  -5009   Falta artículo núm.   CON0333/12
-3338  28052012  0   Sin Error   CON0332/12
-3336  28052012  0   Sin Error   CON0331/12
-3335  28052012  0   Sin Error   CON0330/12
-3334  28052012  0   Sin Error   CON0329/12
-3333  28052012  0   Sin Error   CON0328/12
-3332  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0327/12
-3331  28052012  0   Sin Error   CON0326/12
-3330  28052012  0   Sin Error   CON0325/12
-3329  28052012  0   Sin Error   CON0324/12
-3328  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0323/12
-3327  28052012  0   Sin Error   CON0322/12
-3326  28052012  0   Sin Error   CON0321/12
-3325  28052012  0   Sin Error   CON0320/12
-3323  28052012  0   Sin Error   CON0319/12
-3322  28052012  0   Sin Error   CON0318/12
-3321  28052012  0   Sin Error   CON0317/12
-3320  28052012  0   Sin Error   CON0316/12
-3319  28052012  0   Sin Error   CON0315/12
-3318  28052012  0   Sin Error   CON0314/12
-3317  28052012  0   Sin Error   CON0313/12
-3316  28052012  0   Sin Error   CON0312/12
-3315  28052012  0   Sin Error   CON0311/12
-3314  28052012  0   Sin Error   CON0310/12
-3313  28052012  0   Sin Error   CON0309/12
-3312  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0308/12
-3311  28052012  0   Sin Error   CON0307/12
-3310  28052012  0   Sin Error   CON0306/12
-3309  28052012  0   Sin Error   CON0305/12
-3308  28052012  0   Sin Error   CON0304/12
-3307  28052012  0   Sin Error   CON0303/12
-3306  28052012  0   Sin Error   CON0302/12
-3305  28052012  0   Sin Error   CON0301/12
-3304  28052012  0   Sin Error   CON0300/12
-3303  28052012  0   Sin Error   CON0299/12
-3302  28052012  0   Sin Error   CON0298/12
-3301  28052012  0   Sin Error   CON0297/12
-3300  28052012  0   Sin Error   CON0296/12
-3299  28052012  0   Sin Error   CON0295/12
-3298  28052012  0   Sin Error   CON0294/12
-3297  28052012  0   Sin Error   CON0293/12
-3295  28052012  0   Sin Error   CON0291/12
-3294  28052012  0   Sin Error   CON0290/12
-3293  28052012  0   Sin Error   CON0289/12
-3292  28052012  0   Sin Error   CON0288/12
-3291  28052012  0   Sin Error   CON0287/12
-3290  28052012  0   Sin Error   CON0286/12
-3289  28052012  0   Sin Error   CON0285/12
-3288  28052012  0   Sin Error   CON0284/12
-3287  28052012  0   Sin Error   CON0283/12
-3284  28052012  0   Sin Error   CON0281/12
-3283  28052012  0   Sin Error   CON0280/12
-3282  28052012  0   Sin Error   CON0279/12
-3281  28052012  0   Sin Error   CON0278/12
-3280  28052012  0   Sin Error   CON0277/12
-3279  28052012  0   Sin Error   CON0276/12
-3278  28052012  0   Sin Error   CON0275/12
-3277  28052012  0   Sin Error   CON0274/12
-3276  28052012  0   Sin Error   CON0273/12
-3275  28052012  0   Sin Error   CON0272/12
-3274  28052012  0   Sin Error   CON0271/12
-3273  28052012  0   Sin Error   CON0270/12
-3272  28052012  0   Sin Error   CON0269/12
-3271  28052012  0   Sin Error   CON0268/12
-3270  28052012  0   Sin Error   CON0267/12
-3269  28052012  0   Sin Error   CON0266/12
-3268  28052012  0   Sin Error   CON0265/12
-3267  28052012  0   Sin Error   CON0264/12
-3266  28052012  0   Sin Error   CON0263/12
-3265  28052012  0   Sin Error   CON0262/12
-3264  28052012  0   Sin Error   CON0261/12
-3262  28052012  0   Sin Error   CON0260/12
-3261  28052012  0   Sin Error   CON0259/12
-3259  28052012  0   Sin Error   CON0257/12
-3258  28052012  0   Sin Error   CON0256/12
-3257  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0255/12
-3255  28052012  0   Sin Error   CON0253/12
-3254  28052012  0   Sin Error   CON0252/12
-3253  28052012  0   Sin Error   CON0251/12
-3252  28052012  0   Sin Error   CON0250/12
-3251  28052012  0   Sin Error   CON0249/12
-3250  28052012  0   Sin Error   CON0248/12
-3249  28052012  0   Sin Error   CON0247/12
-3248  28052012  0   Sin Error   CON0246/12
-3247  28052012  0   Sin Error   CON0245/12
-3245  28052012  0   Sin Error   CON0243/12
-3240  28052012  0   Sin Error   CON0238/12
-3235  28052012  0   Sin Error   CON0233/12
-3234  28052012  0   Sin Error   CON0232/12
-3233  28052012  0   Sin Error   CON0231/12
-3231  28052012  0   Sin Error   CON0229/12
-3230  28052012  0   Sin Error   CON0228/12
-3229  28052012  0   Sin Error   CON0227/12
-3228  28052012  0   Sin Error   CON0226/12
-3227  28052012  0   Sin Error   CON0225/12
-3226  28052012  0   Sin Error   CON0224/12
-3225  28052012  0   Sin Error   CON0223/12
-3224  28052012  0   Sin Error   CON0222/12
-3223  28052012  0   Sin Error   CON0221/12
-3221  28052012  0   Sin Error   CON0219/12
-3220  28052012  0   Sin Error   CON0218/12
-3219  28052012  -5009   Falta artículo núm.   CON0217/12
-3218  28052012  0   Sin Error   CON0216/12
-3217  28052012  0   Sin Error   CON0215/12
-3216  28052012  0   Sin Error   CON0214/12
-3215  28052012  0   Sin Error   CON0213/12
-3210  28052012  0   Sin Error   CON0208/12
-3207  28052012  0   Sin Error   CON0205/12
-3206  28052012  0   Sin Error   CON0204/12
-3201  28052012  0   Sin Error   CON0201/12
-3197  28052012  0   Sin Error   CON0197/12
-3196  28052012  0   Sin Error   CON0196/12
-3194  28052012  0   Sin Error   CON0194/12
-3193  28052012  0   Sin Error   CON0193/12
-3192  28052012  0   Sin Error   CON0192/12
-3191  28052012  0   Sin Error   CON0191/12
-3190  28052012  0   Sin Error   CON0190/12
-3187  28052012  0   Sin Error   CON0187/12
-3186  28052012  0   Sin Error   CON0186/12
-3185  28052012  0   Sin Error   CON0185/12
-3183  28052012  0   Sin Error   CON0183/12
-3182  28052012  0   Sin Error   CON0182/12
-3181  28052012  0   Sin Error   CON0181/12
-3179  28052012  0   Sin Error   CON0179/12
-3177  28052012  0   Sin Error   CON0177/12
-3176  28052012  0   Sin Error   CON0176/12
-3175  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0175/12
-3174  28052012  0   Sin Error   CON0174/12
-3172  28052012  0   Sin Error   CON0172/12
-3171  28052012  0   Sin Error   CON0171/12
-3168  28052012  0   Sin Error   CON0168/12
-3167  28052012  0   Sin Error   CON0167/12
-3166  28052012  0   Sin Error   CON0166/12
-3165  28052012  0   Sin Error   CON0165/12
-3160  28052012  0   Sin Error   CON0161/12
-3159  28052012  0   Sin Error   CON0160/12
-3158  28052012  0   Sin Error   CON0159/12
-3157  28052012  0   Sin Error   CON0158/12
-3154  28052012  0   Sin Error   CON0155/12
-3153  28052012  0   Sin Error   CON0154/12
-3151  28052012  0   Sin Error   CON0152/12
-3149  28052012  0   Sin Error   CON0150/12
-3148  28052012  0   Sin Error   CON0149/12
-3134  28052012  0   Sin Error   CON0135/12
-3133  28052012  0   Sin Error   CON0134/12
-3128  28052012  0   Sin Error   CON0129/12
-3127  28052012  0   Sin Error   CON0128/12
-3126  28052012  -5009   Falta artículo núm.   CON0127/12
-3123  28052012  0   Sin Error   CON0124/12
-3116  28052012  0   Sin Error   CON0117/12
-3108  28052012  0   Sin Error   CON0109/12
-3106  28052012  0   Sin Error   CON0107/12
-3098  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0100/12
-3096  28052012  0   Sin Error   CON0098/12
-3095  28052012  0   Sin Error   CON0097/12
-3094  28052012  0   Sin Error   CON0096/12
-3081  28052012  0   Sin Error   CON0084/12
-3068  28052012  0   Sin Error   CON0073/12
-3054  28052012  0   Sin Error   CON0059/12
-3035  28052012  -10   En los campos "Hasta almacén" introduzca valores válidos  [Zpráva 0-0]   CON0044/12
-3034  28052012  0   Sin Error   CON0043/12
-3033  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0042/12
-3030  28052012  0   Sin Error   CON0039/12
-3029  28052012  0   Sin Error   CON0038/12
-3021  28052012  0   Sin Error   CON0032/12
-3012  28052012  0   Sin Error   CON0025/12
-2994  28052012  0   Sin Error   CON0008/12
-2992  28052012  0   Sin Error   CON0006/12
-2986  28052012  0   Sin Error   CON0723/11
-2981  28052012  0   Sin Error   CON0718/11
-2976  28052012  0   Sin Error   CON0713/11
-2972  28052012  0   Sin Error   CON0709/11
-2966  28052012  0   Sin Error   CON0703/11
-2950  28052012  0   Sin Error   CON0687/11
-2948  28052012  0   Sin Error   CON0685/11
-2947  28052012  0   Sin Error   CON0684/11
-2923  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0660/11
-2922  28052012  0   Sin Error   CON0659/11
-2914  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0652/11
-2913  28052012  0   Sin Error   CON0651/11
-2899  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0638/11
-2893  28052012  0   Sin Error   CON0632/11
-2891  28052012  0   Sin Error   CON0630/11
-2883  28052012  0   Sin Error   CON0622/11
-2882  28052012  0   Sin Error   CON0621/11
-2880  28052012  0   Sin Error   CON0619/11
