RecordKey   Fecha   ErrNum  ErrMsj  TipoDocumento
-3345  28052012  -10   En los campos "Hasta almacén" introduzca valores válidos  [Zpráva 0-0]   CON0339/12
-3339  28052012  -5009   Falta artículo núm.   CON0333/12
-3332  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0327/12
-3328  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0323/12
-3312  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0308/12
-3257  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0255/12
-3219  28052012  -5009   Falta artículo núm.   CON0217/12
-3175  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0175/12
-3126  28052012  -5009   Falta artículo núm.   CON0127/12
-3098  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0100/12
-3035  28052012  -10   En los campos "Hasta almacén" introduzca valores válidos  [Zpráva 0-0]   CON0044/12
-3033  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0042/12
-2923  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0660/11
-2914  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0652/11
-2899  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0638/11
-2875  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0614/11
-2529  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0275/11
-2506  28052012  -2028   No existen registros coincidentes ODBC -2028   CON0252/11
-2332  28052012  -10   En los campos "Hasta almacén" introduzca valores válidos  [Zpráva 0-0]   CON0084/11
29  28052012  -2028   No existen registros coincidentes ODBC -2028   OP264/10
31  28052012  -2028   No existen registros coincidentes ODBC -2028   OP266/10
51  28052012  -2028   No existen registros coincidentes ODBC -2028   OP286/10
68  28052012  -2028   No existen registros coincidentes ODBC -2028   OP302/10
71  28052012  -2028   No existen registros coincidentes ODBC -2028   OP305/10
74  28052012  -2028   No existen registros coincidentes ODBC -2028   OP308/10
77  28052012  -2028   No existen registros coincidentes ODBC -2028   OP311/10
78  28052012  -2028   No existen registros coincidentes ODBC -2028   OP312/10
79  28052012  -2028   No existen registros coincidentes ODBC -2028   OP313/10
124  28052012  -2028   No existen registros coincidentes ODBC -2028   OP347/10
125  28052012  -2028   No existen registros coincidentes ODBC -2028   OP348/10
126  28052012  -2028   No existen registros coincidentes ODBC -2028   OP349/10
161  28052012  -2028   No existen registros coincidentes ODBC -2028   OP379/10
199  28052012  -2028   No existen registros coincidentes ODBC -2028   OP415/10
205  28052012  -2028   No existen registros coincidentes ODBC -2028   OP421/10
207  28052012  -2028   No existen registros coincidentes ODBC -2028   OP423/10
